week,event_count,current_mean_wait_min,proposed_mean_wait_min,improvement_min,improvement_pct,current_p95_wait_min,proposed_p95_wait_min,total_time_saved_hours
2025-W08,73,5.0,0.8,4.3,85.1,20.2,5.7,5.2
2025-W09,105,5.6,4.4,1.2,21.5,23.9,38.6,2.6
2025-W10,125,14.1,0.9,13.2,93.6,19.6,7.0,50.2
2025-W11,143,5.6,2.3,3.3,59.2,23.9,13.7,7.9
2025-W12,147,43.1,2.7,40.4,93.8,22.7,12.3,193.1
2025-W13,133,25.3,11.2,14.1,55.9,73.5,58.5,54.1
2025-W14,110,7.7,1.5,6.2,80.3,31.1,9.6,11.4
2025-W15,118,45.0,1.5,43.5,96.6,51.1,9.6,157.2
2025-W16,84,8.8,3.0,5.8,66.2,39.8,11.4,9.1
2025-W17,76,5.9,1.1,4.8,80.9,40.9,5.9,7.5
2025-W18,74,28.3,9.3,19.0,67.1,129.0,80.5,23.4
2025-W19,98,19.0,4.7,14.2,74.9,36.8,27.5,23.5
2025-W20,97,15.1,12.7,2.5,16.3,65.8,80.5,4.0
2025-W21,93,15.0,7.2,7.8,52.0,64.5,56.0,12.6
2025-W22,92,7.5,2.1,5.4,71.7,24.6,10.8,8.2
2025-W23,101,6.7,1.1,5.6,83.2,33.9,8.3,9.4
2025-W24,92,7.5,1.4,6.1,81.8,15.9,7.9,9.4
2025-W25,72,5.0,0.8,4.2,84.6,15.5,5.5,5.1
2025-W26,91,20.4,1.3,19.1,93.8,19.8,10.2,29.1
2025-W27,51,1.9,0.9,1.0,54.4,8.8,5.4,0.9
2025-W28,92,15.7,9.8,5.9,37.3,44.4,95.0,9.4
2025-W29,98,31.5,1.2,30.3,96.1,38.3,7.8,65.4
2025-W30,91,11.3,1.2,10.1,89.4,39.3,8.2,15.3
2025-W31,96,18.4,2.1,16.3,88.7,21.6,12.2,48.6
2025-W32,107,5.7,2.0,3.7,64.3,19.9,10.2,7.6
2025-W33,112,7.2,1.9,5.3,73.7,30.2,9.5,9.9
2025-W34,100,7.2,1.4,5.8,80.1,24.8,9.3,9.7
2025-W35,102,4.7,1.0,3.7,77.9,18.6,8.9,6.3
2025-W36,78,21.1,2.1,19.1,90.3,34.2,10.3,24.8
2025-W37,101,9.2,2.5,6.7,72.9,24.5,12.2,15.5
2025-W38,123,29.2,1.3,28.0,95.7,24.8,9.9,57.3
2025-W39,117,9.7,4.1,5.6,57.6,29.4,26.1,15.6
2025-W40,112,7.4,2.6,4.8,64.6,22.5,17.0,9.0
2025-W41,98,69.2,1.5,67.7,97.9,60.6,9.1,110.7
2025-W42,109,42.4,2.7,39.7,93.6,59.7,15.1,75.3
2025-W43,129,21.6,1.2,20.4,94.5,54.3,9.0,44.0
2025-W44,133,5.6,1.2,4.5,79.1,17.3,8.7,10.1
2025-W45,81,21.8,2.1,19.8,90.5,67.5,12.0,29.3
2025-W46,116,81.8,4.7,77.1,94.2,145.1,24.0,152.2
2025-W47,136,33.8,31.8,2.0,5.9,124.8,179.4,6.4
2025-W48,89,12.0,3.1,8.8,73.8,24.2,18.6,13.1
2025-W49,120,11.4,1.6,9.8,86.1,33.5,9.7,19.5
2025-W50,108,11.2,2.4,8.8,78.9,38.4,12.0,15.9
2025-W51,132,10.3,2.5,7.8,75.8,40.6,14.7,20.8
2025-W52,26,11.7,2.9,8.8,75.2,41.3,14.3,3.8
2026-W02,122,7.6,2.3,5.3,69.4,29.5,13.1,10.7
2026-W03,113,26.1,1.8,24.3,93.0,59.7,9.3,45.7
2026-W04,100,28.6,10.6,17.9,62.8,119.0,51.0,29.9
2026-W05,91,83.3,1.4,81.9,98.3,24.1,8.6,124.2
2026-W06,127,20.7,2.2,18.5,89.3,40.1,13.7,47.5
2026-W07,106,6.1,1.4,4.7,77.7,18.9,10.6,8.4
2026-W08,24,7.0,1.8,5.2,74.6,20.7,12.2,2.1
